"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","transcriptId","symbol"
"ENSG00000262543",205.910697985216,5.4652395322596,1.13778664680399,4.53972592029323,5.63273985780956e-06,0.0146269797265529,"ENSG00000262543.1","SMIM28"
"ENSG00000174279",217.530376911893,4.93043824268217,0.874764853832989,5.29335194754659,1.20094474633915e-07,0.00142041739873263,"ENSG00000174279.4","EVX2"
"ENSG00000177551",503.357354628251,4.24035922082155,0.788814574985815,4.99529210764444,5.87467782552229e-07,0.00463218346542433,"ENSG00000177551.5","NHLH2"
"ENSG00000164099",5762.68389540505,3.47883339159547,0.722879633343583,4.39745878147403,1.09525675894021e-05,0.0168132011208017,"ENSG00000164099.3","PRSS12"
"ENSG00000106536",52.7233705827996,3.45337644312789,0.781485879308633,4.03510354648714,5.45782228371215e-05,0.0430349287070703,"ENSG00000106536.18","POU6F2"
"ENSG00000128710",522.647441988622,3.33860839719654,0.740516835034376,4.10336167044128,4.07189952548039e-05,0.0356743641760143,"ENSG00000128710.5","HOXD10"
"ENSG00000181085",288.528075549566,3.09392260284738,0.710625733940894,3.93163724504208,8.4369307997994e-05,0.0499055617036526,"ENSG00000181085.13","MAPK15"
"ENSG00000254656",539.888007419547,2.82334397535275,0.590739396094101,4.27150109174503,1.94161576730078e-05,0.0241731163028947,"ENSG00000254656.1","RTL1"
"ENSG00000139292",405.932711651354,2.74527871788508,0.599882824491014,4.07626059299137,4.57657281275786e-05,0.0386638678163526,"ENSG00000139292.11","LGR5"
"ENSG00000237857",47.4813310937661,2.69955438674702,0.598969718537428,4.00613639134594,6.1720018256319e-05,0.0437334111172905,"ENSG00000237857.2",NA
"ENSG00000235436",130.710171846539,2.64388500891355,0.540008890305567,4.34045633505636,1.42187122230245e-05,0.0186857576464247,"ENSG00000235436.9","DPY19L2P4"
"ENSG00000137868",1852.75862868318,2.56248545347326,0.565365269457874,4.0018118828607,6.28592677230131e-05,0.0437334111172905,"ENSG00000137868.17","STRA6"
"ENSG00000258949",24.7281956081413,2.54494865090996,0.538026467985037,4.17256173161427,3.01193957976955e-05,0.0310615982548494,"ENSG00000258949.1","LOC101927418"
"ENSG00000197099",16.3108458777832,2.15110445087858,0.376188075881902,4.92068879785468,8.62401636657394e-07,0.00510002767878266,"ENSG00000197099.7",NA
"ENSG00000253347",36.3699851643557,2.11231411856792,0.397611475604715,4.55800254711369,5.16424113481371e-06,0.0146269797265529,"ENSG00000253347.1",NA
"ENSG00000274383",246.34324003981,2.02316856087845,0.389763188278993,4.42106543844516,9.82154218710036e-06,0.0165948986025614,"ENSG00000274383.1",NA
"ENSG00000280727",38.6286915042541,2.00622781543873,0.378293538860843,4.51032766929274,6.47275662435611e-06,0.0146269797265529,"ENSG00000280727.1",NA
"ENSG00000223403",1188.95843910985,1.94488606916352,0.364640981382614,4.51097422710574,6.45305618586606e-06,0.0146269797265529,"ENSG00000223403.3","MEG9"
"ENSG00000238113",537.702247644214,1.64109789806281,0.324254104116439,4.13594733586233,3.53493261844847e-05,0.0334475324357594,"ENSG00000238113.5","LINC01410"
"ENSG00000225527",21.9864811475073,1.56714263712035,0.322298488693546,3.93158107025813,8.43890284568211e-05,0.0499055617036526,"ENSG00000225527.1",NA
"ENSG00000269867",371.113933812345,1.34449012572944,0.232295749280646,4.49638070848875,6.91199295585801e-06,0.0146269797265529,"ENSG00000269867.1",NA
