"regulatoryGene"	"targetGene"	"weight"
"ENSG00000105357"	"ENSG00000164309"	0.00337368784946105
"ENSG00000139292"	"ENSG00000198785"	0.00250522158667682
"ENSG00000174279"	"ENSG00000261888"	0.00218089312855733
"ENSG00000105357"	"ENSG00000148795"	0.00166594510432428
"ENSG00000261888"	"ENSG00000174279"	0.00165410022700506
"ENSG00000168298"	"ENSG00000275993"	0.00127773165353093
"ENSG00000274370"	"ENSG00000174279"	0.00118502491652731
"ENSG00000182575"	"ENSG00000261888"	0.00109541781512995
"ENSG00000274370"	"ENSG00000261888"	0.0010707914613607
"ENSG00000109846"	"ENSG00000160808"	0.00106923410352366
"ENSG00000198739"	"ENSG00000139211"	0.0010568842823552
"ENSG00000150991"	"ENSG00000275993"	0.00104013179199977
"ENSG00000198739"	"ENSG00000174279"	0.00102669887887419
"ENSG00000182575"	"ENSG00000139211"	0.001007370303106
"ENSG00000139211"	"ENSG00000198739"	0.000977911984562232
"ENSG00000249853"	"ENSG00000254656"	0.000969162710105895
"ENSG00000139211"	"ENSG00000261888"	0.000966185237228094
"ENSG00000139211"	"ENSG00000182575"	0.000950181279804196
"ENSG00000139292"	"ENSG00000258949"	0.000945823491035641
"ENSG00000225527"	"ENSG00000280727"	0.000934229069824722
"ENSG00000249853"	"ENSG00000181085"	0.000909817518882822
"ENSG00000176716"	"ENSG00000198739"	0.000904013176500669
"ENSG00000274370"	"ENSG00000182575"	0.000886916533942831
"ENSG00000164099"	"ENSG00000139292"	0.000885078158981558
"ENSG00000176716"	"ENSG00000261888"	0.000798115550856686
"ENSG00000109846"	"ENSG00000164309"	0.00079342789156548
"ENSG00000150991"	"ENSG00000160808"	0.000738394026539997
"ENSG00000177551"	"ENSG00000275993"	0.000717070778215563
"ENSG00000249853"	"ENSG00000137868"	0.000714229656646514
"ENSG00000106536"	"ENSG00000105357"	0.000704725167852564
"ENSG00000139292"	"ENSG00000164176"	0.000697821409831856
"ENSG00000150991"	"ENSG00000168298"	0.000695733361429283
"ENSG00000198739"	"ENSG00000182575"	0.000686907965598775
"ENSG00000137868"	"ENSG00000151779"	0.000665763435253276
"ENSG00000105357"	"ENSG00000181085"	0.000663691752154952
"ENSG00000275993"	"ENSG00000160808"	0.000629764977762595
"ENSG00000182575"	"ENSG00000198785"	0.000627362853808236
"ENSG00000198739"	"ENSG00000172568"	0.000605722451739296
"ENSG00000164099"	"ENSG00000106536"	0.000576218924637911
"ENSG00000262543"	"ENSG00000235436"	0.00056522131500306
"ENSG00000172568"	"ENSG00000139211"	0.000526869809261216
"ENSG00000262543"	"ENSG00000253347"	0.000519081775077111
"ENSG00000106536"	"ENSG00000148795"	0.000514416358177731
"ENSG00000225527"	"ENSG00000258949"	0.000513268585593597
"ENSG00000237857"	"ENSG00000109846"	0.000511828795295129
"ENSG00000237857"	"ENSG00000274370"	0.000507890170768698
"ENSG00000164176"	"ENSG00000106536"	0.000501379763940399
"ENSG00000258949"	"ENSG00000225527"	0.000494875903775158
"ENSG00000168298"	"ENSG00000237857"	0.000492341785539054
"ENSG00000238113"	"ENSG00000253347"	0.000490353190836138
"ENSG00000235436"	"ENSG00000261888"	0.000489572820753497
"ENSG00000139211"	"ENSG00000139292"	0.000484443691604567
"ENSG00000198785"	"ENSG00000164099"	0.000476446665071586
"ENSG00000237857"	"ENSG00000275993"	0.000469245118960827
"ENSG00000262543"	"ENSG00000225527"	0.000446431932651951
"ENSG00000177551"	"ENSG00000198739"	0.000430271945670398
"ENSG00000164176"	"ENSG00000237857"	0.000427457957847444
"ENSG00000235436"	"ENSG00000262543"	0.000418000611403856
"ENSG00000150991"	"ENSG00000235436"	0.000410523285775369
"ENSG00000274370"	"ENSG00000139292"	0.00040065098980139
"ENSG00000249853"	"ENSG00000177551"	0.000397627407227912
"ENSG00000237857"	"ENSG00000139292"	0.000392223815960694
"ENSG00000168298"	"ENSG00000261888"	0.000390951617504604
"ENSG00000164176"	"ENSG00000176716"	0.000382808441558567
"ENSG00000249853"	"ENSG00000182575"	0.000359625291858267
"ENSG00000139211"	"ENSG00000106536"	0.000359401296834167
"ENSG00000164099"	"ENSG00000150991"	0.000350325386087117
"ENSG00000274370"	"ENSG00000223403"	0.000329943975791407
"ENSG00000176716"	"ENSG00000198785"	0.000328305089959351
"ENSG00000168298"	"ENSG00000177551"	0.000325355970712776
"ENSG00000198785"	"ENSG00000249853"	0.000314682489898246
"ENSG00000168298"	"ENSG00000106536"	0.000309464608148748
"ENSG00000164309"	"ENSG00000254656"	0.000307106951848093
"ENSG00000128710"	"ENSG00000177551"	0.000305693649089168
"ENSG00000174279"	"ENSG00000139211"	0.000299757484986352
"ENSG00000235436"	"ENSG00000137868"	0.000295511013414463
"ENSG00000177551"	"ENSG00000168298"	0.000294954641268389
"ENSG00000164176"	"ENSG00000105357"	0.000294711099094187
"ENSG00000237857"	"ENSG00000164176"	0.000292039092025769
"ENSG00000249853"	"ENSG00000106536"	0.000287577699776885
"ENSG00000137868"	"ENSG00000269867"	0.000278200443519971
"ENSG00000225527"	"ENSG00000168298"	0.000277010234262171
"ENSG00000109846"	"ENSG00000197099"	0.000276618484067515
"ENSG00000174279"	"ENSG00000164309"	0.000271040874197799
"ENSG00000249853"	"ENSG00000235436"	0.000245313048442057
"ENSG00000275993"	"ENSG00000177551"	0.000237440210753457
"ENSG00000269867"	"ENSG00000197099"	0.000232733611133682
"ENSG00000172568"	"ENSG00000160808"	0.000222049077111577
"ENSG00000275993"	"ENSG00000148795"	0.00021289436881045
"ENSG00000197099"	"ENSG00000225527"	0.000212122407875529
"ENSG00000237857"	"ENSG00000197099"	0.000207715823716401
"ENSG00000235436"	"ENSG00000164176"	0.000207659693784954
"ENSG00000237857"	"ENSG00000262543"	0.000203207358444207
"ENSG00000176716"	"ENSG00000225527"	0.000198497530275524
"ENSG00000164176"	"ENSG00000235436"	0.00019786865584855
"ENSG00000237857"	"ENSG00000106536"	0.000197162904419935
"ENSG00000269867"	"ENSG00000225527"	0.000196790609149138
"ENSG00000148795"	"ENSG00000105357"	0.000192290126103562
"ENSG00000172568"	"ENSG00000174279"	0.000190408522227303
"ENSG00000168298"	"ENSG00000235436"	0.000187149927009442
"ENSG00000172568"	"ENSG00000198785"	0.000182752545789046
"ENSG00000225527"	"ENSG00000235436"	0.000175637174867654
"ENSG00000269867"	"ENSG00000182575"	0.000175458259061333
"ENSG00000164309"	"ENSG00000237857"	0.000175419577106676
"ENSG00000275993"	"ENSG00000261888"	0.000170872774994321
"ENSG00000269867"	"ENSG00000238113"	0.000163174129607482
"ENSG00000182575"	"ENSG00000148795"	0.000160320364945068
"ENSG00000172568"	"ENSG00000177551"	0.000156569842789361
"ENSG00000139292"	"ENSG00000151779"	0.000151542180862515
"ENSG00000198785"	"ENSG00000280727"	0.000150513094962944
"ENSG00000172568"	"ENSG00000261888"	0.000146684917480711
"ENSG00000235436"	"ENSG00000254656"	0.000145927714768378
"ENSG00000106536"	"ENSG00000160808"	0.000144852278060925
"ENSG00000164309"	"ENSG00000198739"	0.000140165806660799
"ENSG00000253347"	"ENSG00000106536"	0.000138905598230377
"ENSG00000164176"	"ENSG00000148795"	0.000137721015348758
"ENSG00000151779"	"ENSG00000160808"	0.000135967512810624
"ENSG00000164099"	"ENSG00000197099"	0.000135391872671876
"ENSG00000269867"	"ENSG00000275993"	0.00013333741655536
"ENSG00000198785"	"ENSG00000139292"	0.000129608424161226
"ENSG00000176716"	"ENSG00000249853"	0.000128540823791315
"ENSG00000238113"	"ENSG00000223403"	0.000126404415180464
"ENSG00000182575"	"ENSG00000254656"	0.000123944200257349
"ENSG00000164176"	"ENSG00000261888"	0.000122539641957692
"ENSG00000235436"	"ENSG00000275993"	0.000121380497154478
"ENSG00000197099"	"ENSG00000181085"	0.000120350700383993
"ENSG00000253347"	"ENSG00000258949"	0.00011876956849637
"ENSG00000249853"	"ENSG00000262543"	0.000117944877907295
"ENSG00000150991"	"ENSG00000182575"	0.000117686547502738
"ENSG00000160808"	"ENSG00000181085"	0.000116551065890113
"ENSG00000106536"	"ENSG00000164176"	0.000116335260318293
"ENSG00000182575"	"ENSG00000275993"	0.000113597794933634
"ENSG00000150991"	"ENSG00000237857"	0.000107968646941273
"ENSG00000261888"	"ENSG00000160808"	0.000106241328284066
"ENSG00000139292"	"ENSG00000262543"	0.00010322924747933
"ENSG00000139292"	"ENSG00000275993"	9.83014658277544e-05
"ENSG00000198739"	"ENSG00000164099"	9.03366304434629e-05
"ENSG00000139292"	"ENSG00000128710"	8.82693474542912e-05
"ENSG00000164309"	"ENSG00000262543"	8.76131106373894e-05
"ENSG00000176716"	"ENSG00000177551"	8.54524801618865e-05
"ENSG00000174279"	"ENSG00000235436"	8.52974860125272e-05
"ENSG00000168298"	"ENSG00000164176"	8.40936071107958e-05
"ENSG00000177551"	"ENSG00000280727"	8.37676815137745e-05
"ENSG00000181085"	"ENSG00000274370"	8.30971989574835e-05
"ENSG00000197099"	"ENSG00000168298"	8.23179866689091e-05
"ENSG00000197099"	"ENSG00000160808"	7.9883874420841e-05
"ENSG00000254656"	"ENSG00000253347"	7.88567968028597e-05
"ENSG00000238113"	"ENSG00000164099"	7.81695161876706e-05
"ENSG00000197099"	"ENSG00000238113"	7.78303931102789e-05
"ENSG00000261888"	"ENSG00000176716"	7.70814402704633e-05
"ENSG00000139292"	"ENSG00000164309"	7.55890821873902e-05
"ENSG00000148795"	"ENSG00000249853"	7.53079673450366e-05
"ENSG00000168298"	"ENSG00000172568"	7.42336721948308e-05
"ENSG00000254656"	"ENSG00000198739"	7.41724739868344e-05
"ENSG00000128710"	"ENSG00000160808"	6.92271390553475e-05
"ENSG00000139292"	"ENSG00000172568"	6.85589820984936e-05
"ENSG00000182575"	"ENSG00000249853"	6.81673600147388e-05
"ENSG00000275993"	"ENSG00000164309"	6.7746312637762e-05
"ENSG00000139292"	"ENSG00000280727"	6.65389158705912e-05
"ENSG00000109846"	"ENSG00000198785"	5.94882517986897e-05
"ENSG00000275993"	"ENSG00000237857"	5.93934331274693e-05
"ENSG00000139211"	"ENSG00000223403"	5.92921076099573e-05
"ENSG00000109846"	"ENSG00000280727"	5.92847724004213e-05
"ENSG00000168298"	"ENSG00000181085"	5.84865469745438e-05
"ENSG00000148795"	"ENSG00000181085"	5.75988386434417e-05
"ENSG00000197099"	"ENSG00000128710"	5.65795550483961e-05
"ENSG00000225527"	"ENSG00000198785"	5.60963162096045e-05
"ENSG00000128710"	"ENSG00000139211"	5.52894528549028e-05
"ENSG00000174279"	"ENSG00000275993"	5.52652641300819e-05
"ENSG00000235436"	"ENSG00000105357"	5.45103886700817e-05
"ENSG00000128710"	"ENSG00000168298"	5.43646498510569e-05
"ENSG00000261888"	"ENSG00000269867"	5.37825822190381e-05
"ENSG00000177551"	"ENSG00000253347"	5.01575506896088e-05
"ENSG00000176716"	"ENSG00000172568"	5.00032959702058e-05
"ENSG00000128710"	"ENSG00000151779"	4.94974315702166e-05
"ENSG00000177551"	"ENSG00000182575"	4.81148987313437e-05
"ENSG00000269867"	"ENSG00000164176"	4.77008485021596e-05
"ENSG00000106536"	"ENSG00000249853"	4.63894026326441e-05
"ENSG00000198785"	"ENSG00000160808"	4.57350498363977e-05
"ENSG00000274383"	"ENSG00000105357"	4.43417689876204e-05
"ENSG00000269867"	"ENSG00000274370"	4.42138508501607e-05
"ENSG00000254656"	"ENSG00000172568"	4.41045411158732e-05
"ENSG00000258949"	"ENSG00000274370"	4.34498600983836e-05
"ENSG00000198785"	"ENSG00000258949"	4.33974193351745e-05
"ENSG00000198739"	"ENSG00000237857"	4.32867456272746e-05
"ENSG00000274383"	"ENSG00000280727"	4.3272477710637e-05
"ENSG00000148795"	"ENSG00000109846"	4.31977754139611e-05
"ENSG00000249853"	"ENSG00000274383"	4.16363603819684e-05
"ENSG00000198739"	"ENSG00000137868"	4.08193910221632e-05
"ENSG00000160808"	"ENSG00000172568"	4.00025777729565e-05
"ENSG00000164309"	"ENSG00000275993"	3.91957787440301e-05
"ENSG00000139211"	"ENSG00000280727"	3.88677948872427e-05
"ENSG00000148795"	"ENSG00000137868"	3.86846316365842e-05
"ENSG00000148795"	"ENSG00000223403"	3.86245325362293e-05
"ENSG00000198785"	"ENSG00000109846"	3.70142035782323e-05
"ENSG00000198739"	"ENSG00000269867"	3.68958912046374e-05
"ENSG00000258949"	"ENSG00000274383"	3.62431911055282e-05
"ENSG00000274370"	"ENSG00000275993"	3.59544589494195e-05
"ENSG00000237857"	"ENSG00000139211"	3.50411724438179e-05
"ENSG00000198739"	"ENSG00000274370"	3.48967125292209e-05
"ENSG00000198739"	"ENSG00000235436"	3.47362982142845e-05
"ENSG00000198739"	"ENSG00000223403"	3.32736446170404e-05
"ENSG00000160808"	"ENSG00000198785"	3.31252233921646e-05
"ENSG00000280727"	"ENSG00000198785"	3.29642222325919e-05
"ENSG00000258949"	"ENSG00000262543"	3.27161415390465e-05
"ENSG00000262543"	"ENSG00000151779"	3.14692418844176e-05
"ENSG00000269867"	"ENSG00000198739"	3.10471533113201e-05
"ENSG00000254656"	"ENSG00000262543"	3.07128494519834e-05
"ENSG00000105357"	"ENSG00000197099"	3.04317844258701e-05
"ENSG00000235436"	"ENSG00000237857"	2.94361283701733e-05
"ENSG00000198785"	"ENSG00000172568"	2.74669161408086e-05
"ENSG00000261888"	"ENSG00000150991"	2.69161749183981e-05
"ENSG00000164099"	"ENSG00000258949"	2.61599049546978e-05
"ENSG00000137868"	"ENSG00000174279"	2.59582953728588e-05
"ENSG00000174279"	"ENSG00000172568"	2.59550601424631e-05
"ENSG00000137868"	"ENSG00000139211"	2.57061675139746e-05
"ENSG00000249853"	"ENSG00000238113"	2.54997241625554e-05
"ENSG00000164176"	"ENSG00000254656"	2.50356880372818e-05
"ENSG00000274383"	"ENSG00000164309"	2.49895431939597e-05
"ENSG00000225527"	"ENSG00000174279"	2.47345395643123e-05
"ENSG00000106536"	"ENSG00000139211"	2.46432766343254e-05
"ENSG00000223403"	"ENSG00000262543"	2.41808927425995e-05
"ENSG00000164176"	"ENSG00000275993"	2.40061869591114e-05
"ENSG00000249853"	"ENSG00000172568"	2.39805172909375e-05
"ENSG00000151779"	"ENSG00000274370"	2.39121596303687e-05
"ENSG00000128710"	"ENSG00000274370"	2.33456167599074e-05
"ENSG00000235436"	"ENSG00000106536"	2.30233744298493e-05
"ENSG00000164099"	"ENSG00000223403"	2.3003967860146e-05
"ENSG00000235436"	"ENSG00000168298"	2.29907031520515e-05
"ENSG00000198739"	"ENSG00000151779"	2.26599716764546e-05
"ENSG00000128710"	"ENSG00000181085"	2.22563651806788e-05
"ENSG00000198739"	"ENSG00000225527"	2.2028109281322e-05
"ENSG00000106536"	"ENSG00000258949"	2.11871674593538e-05
"ENSG00000148795"	"ENSG00000274370"	2.04808274028804e-05
"ENSG00000274370"	"ENSG00000137868"	2.01638293248682e-05
"ENSG00000258949"	"ENSG00000254656"	1.98083085064924e-05
"ENSG00000253347"	"ENSG00000137868"	1.97831981165297e-05
"ENSG00000139292"	"ENSG00000197099"	1.97310446990066e-05
"ENSG00000262543"	"ENSG00000172568"	1.94234386021817e-05
"ENSG00000249853"	"ENSG00000160808"	1.92302109215742e-05
"ENSG00000137868"	"ENSG00000198785"	1.92217922949558e-05
