"regulatoryGene"	"targetGene"	"weight"
"ENSG00000164099"	"ENSG00000174279"	0.00587854596849165
"ENSG00000274370"	"ENSG00000261888"	0.00562824855644009
"ENSG00000261888"	"ENSG00000274370"	0.00382246797534296
"ENSG00000181085"	"ENSG00000164176"	0.00187241451614197
"ENSG00000177551"	"ENSG00000128710"	0.00166690063613922
"ENSG00000181085"	"ENSG00000280727"	0.00161120428183677
"ENSG00000274383"	"ENSG00000238113"	0.00131186265324991
"ENSG00000172568"	"ENSG00000150991"	0.00123433567843143
"ENSG00000109846"	"ENSG00000105357"	0.00109590219409638
"ENSG00000172568"	"ENSG00000151779"	0.000950006249522687
"ENSG00000269867"	"ENSG00000164309"	0.000929989087005309
"ENSG00000174279"	"ENSG00000128710"	0.000925713534086397
"ENSG00000262543"	"ENSG00000128710"	0.000905429501524488
"ENSG00000168298"	"ENSG00000269867"	0.000860300477443682
"ENSG00000160808"	"ENSG00000137868"	0.000842794123981758
"ENSG00000150991"	"ENSG00000223403"	0.00081366046165513
"ENSG00000274383"	"ENSG00000280727"	0.000729388697558183
"ENSG00000238113"	"ENSG00000182575"	0.00071329826039949
"ENSG00000139292"	"ENSG00000262543"	0.000710719674250538
"ENSG00000235436"	"ENSG00000223403"	0.000679766591205327
"ENSG00000137868"	"ENSG00000160808"	0.000672230735169406
"ENSG00000139211"	"ENSG00000160808"	0.000672230735169406
"ENSG00000269867"	"ENSG00000168298"	0.000665033473490176
"ENSG00000253347"	"ENSG00000225527"	0.000647217699286656
"ENSG00000164099"	"ENSG00000238113"	0.000637189328269017
"ENSG00000174279"	"ENSG00000177551"	0.000572595611076564
"ENSG00000139211"	"ENSG00000137868"	0.000572319493368291
"ENSG00000148795"	"ENSG00000269867"	0.000563240705264565
"ENSG00000176716"	"ENSG00000237857"	0.000552634931105255
"ENSG00000160808"	"ENSG00000275993"	0.000546318060802485
"ENSG00000181085"	"ENSG00000235436"	0.000520009239324564
"ENSG00000139211"	"ENSG00000258949"	0.000519424154552336
"ENSG00000150991"	"ENSG00000198785"	0.000512172800226967
"ENSG00000148795"	"ENSG00000274370"	0.000479233178082431
"ENSG00000262543"	"ENSG00000269867"	0.000475065243446428
"ENSG00000160808"	"ENSG00000198739"	0.000467646335551799
"ENSG00000164309"	"ENSG00000105357"	0.000464756152356775
"ENSG00000258949"	"ENSG00000269867"	0.000464237244411183
"ENSG00000168298"	"ENSG00000197099"	0.000463646350387852
"ENSG00000128710"	"ENSG00000262543"	0.000456157952693167
"ENSG00000151779"	"ENSG00000274370"	0.000443106800008048
"ENSG00000164176"	"ENSG00000262543"	0.000433164686588694
"ENSG00000168298"	"ENSG00000275993"	0.000432227465561792
"ENSG00000181085"	"ENSG00000164099"	0.00042503552822773
"ENSG00000262543"	"ENSG00000139292"	0.000423228269766799
"ENSG00000172568"	"ENSG00000177551"	0.000416294667173958
