"regulatoryGene"	"targetGene"	"weight"
"ENSG00000261888"	"LOC644135"	0.00648840081270425
"LOC101927418"	"ENSG00000233347"	0.00634833731176152
"PAIP2B"	"SMIM28"	0.00634701781730545
"ENSG00000237857"	"USP27X-AS1"	0.00629375298700069
"P4HB"	"PRSS12"	0.00554052297726778
"NPTXR"	"ENSG00000261888"	0.00542893989498181
"MPC2"	"AMIGO2"	0.00527697525312752
"NHLH2"	"LINC00304"	0.00508662604441986
"FAM95B1"	"HOXD10"	0.0050648874586826
"TNNI3"	"SMIM28"	0.00501558963811032
"UBC"	"CALCA"	0.0049927098055689
"ZC3H12A"	"HIST1H1E"	0.00486367140386414
"ENSG00000232559"	"HIST1H1E"	0.00486367140386414
"SASS6"	"ENSG00000197099"	0.00482814191058081
"CYP17A1"	"ENSG00000260412"	0.00478862689906228
"ASMTL"	"CYP17A1"	0.00478561118420519
"GLUD2"	"CYP17A1"	0.00478561118420519
"ENSG00000254893"	"CYP17A1"	0.00478561118420519
"NBAS"	"MYH11"	0.00478361827048681
"DDX1"	"NBAS"	0.00473703022896497
"CDC7"	"ENSG00000197099"	0.004732480710705
"CRYAB"	"EGR4"	0.00472177675799218
"SMIM28"	"ENSG00000252202"	0.00470849022099146
"KAZALD1"	"MYH14"	0.00469114921507335
"EVX2"	"MB"	0.00465906825337039
"VDAC2"	"ENSG00000261888"	0.00462669801848346
"SIK1B"	"SGK1"	0.00461837221565841
"LOC107985194"	"MYH14"	0.00458551493600907
"ITPRIPL2"	"MYH14"	0.00450478342415827
"DYNC2LI1"	"ENSG00000176716"	0.00450289788887484
"LRRTM3"	"PLCXD3"	0.0044840346890917
"FOXO6"	"AMIGO2"	0.00446624298939111
"RNF135"	"CRYAB"	0.00444354833820576
"BCL2L12"	"HIST1H1E"	0.00444078779809685
"SIK1B"	"DUSP1"	0.00442549898521798
"MYL3"	"LOX"	0.00442368632054022
"HOXD10"	"ENSG00000270427"	0.00440991341956698
"GRIN3A"	"ENSG00000213391"	0.00439571122374179
"ENSG00000261888"	"APOC2"	0.00434542355275138
"PPP1R15A"	"SIK1B"	0.00434534985915106
"ENSG00000272501"	"EVX2"	0.00431630386899074
"PNKP"	"MAPK15"	0.00427897512823744
"KLF2"	"MYL3"	0.00421189413980518
"CPED1"	"STRA6"	0.00418181259676757
"LINC01410"	"BTBD7"	0.00416239799079066
"THEM4"	"EVX2"	0.00415322988293769
"LGR5"	"PSAT1"	0.0041255988633923
"AMIGO2"	"GSG1"	0.00412221347862303
"ARRDC1"	"ENSG00000274383"	0.00411850556352149
"ENSG00000197099"	"ENSG00000267741"	0.00409905783878267
"SYNC"	"MYH14"	0.00407893749449904
"CYP17A1"	"ENSG00000272931"	0.00407608633516495
"FBXO46"	"LINC01410"	0.00406011210811767
"POU6F2"	"ENSG00000247317"	0.00405795473656101
"EGFL8"	"ENSG00000176716"	0.00404473176847656
"PCAT6"	"SIK1B"	0.00404102360985339
"IGFBP5"	"CMYA5"	0.00403279852725574
"ENSG00000269867"	"ENSG00000229533"	0.00401226422057809
"TNFSF18"	"EVX2"	0.00397443798566413
"CCL4"	"EVX2"	0.00397443798566413
"NUP210L"	"ENSG00000253347"	0.00396580917019635
"ENSG00000237857"	"ASMTL"	0.00396562050132874
"SLC25A35"	"HOXD10"	0.00396252693110777
"PRPH2"	"EVX2"	0.00391812897218145
"RTL1"	"LOC100144595"	0.00389739163307175
"LRRTM3"	"IRF2BP1"	0.00389253987890711
"ITPKC"	"UBC"	0.00388993482108515
"CREB3L1"	"MYH14"	0.00384930277585738
"SYDE1"	"MYL3"	0.00384706799598218
"CXCL12"	"MYH14"	0.00383155844286007
"ARSB"	"MYH14"	0.00383155844286007
"FBLN2"	"MYH14"	0.00383155844286007
"MYH14"	"LOC642361"	0.00380465393060405
"GLRB"	"LRRTM3"	0.00378966104682762
"GRIN3A"	"ENSG00000238251"	0.0037871873804148
"CENPB"	"SMIM28"	0.00376169222858274
"ZDHHC4"	"SMIM28"	0.00376169222858274
"PKIA"	"GRIN3A"	0.00375783238001523
"ENSG00000213391"	"GRIN3A"	0.00375783238001523
"LGR5"	"RMST"	0.00374285440116156
"STRA6"	"ALG10"	0.00373849532332197
"MYH14"	"CALHM2"	0.00372896272384558
"ENSG00000261888"	"SMOX"	0.00372835302116947
"MEG9"	"NKAIN1"	0.00370519892741035
"ENSG00000268798"	"ENSG00000253347"	0.00369160497738928
"ZNF606"	"ENSG00000253347"	0.00368759245008865
"SIK1B"	"HIST1H1B"	0.0036698521369225
"PDZRN4"	"CMYA5"	0.00366746348385838
"PLEKHG6"	"ENSG00000274370"	0.00366646061708302
"EFNB3"	"AMIGO2"	0.00366020104901361
"TNNI3K"	"AMIGO2"	0.00366020104901361
"FBXO30"	"AMIGO2"	0.00366020104901361
"CXXC5"	"AMIGO2"	0.00366020104901361
"ENSG00000280255"	"AMIGO2"	0.00366020104901361
"CIART"	"HIST1H1E"	0.00364775355289811
"PTGIR"	"HIST1H1E"	0.00364775355289811
"ENSG00000261592"	"HIST1H1E"	0.00364775355289811
"HIST1H1E"	"ENSG00000206828"	0.00364578538314472
"ENSG00000280054"	"CMYA5"	0.00363575057955447
"UBA52"	"STRA6"	0.0036197602709096
"LINC01410"	"LOC100287042"	0.00360751474315329
"ACSL6"	"NBAS"	0.00359886144954947
"GAL3ST1"	"ENSG00000274370"	0.00359272356377436
"TBC1D25"	"CYP17A1"	0.0035892083881539
"INMT"	"CYP17A1"	0.0035892083881539
"FAM198B-AS1"	"CYP17A1"	0.0035892083881539
"ENSG00000278219"	"CYP17A1"	0.0035892083881539
"GRIN3A"	"MYH11"	0.00358771370286511
"LOC101927418"	"OLA1"	0.0035794700178375
"WFDC3"	"GRIN3A"	0.0035654533149876
"CMYA5"	"CYP4F29P"	0.00356367370556484
"HINT3"	"HS3ST5"	0.00356023157083223
"ATP6V0B"	"NXPH3"	0.00355899374065269
"KNCN"	"NXPH3"	0.00355899374065269
"PDE7B"	"NXPH3"	0.00355899374065269
"LINC00304"	"NHLH2"	0.00355790326342326
"NHLH2"	"ENSG00000236993"	0.00355758323101769
"MYH14"	"CPZ"	0.00355615060747453
"ENSG00000260398"	"NBAS"	0.00355260183645408
"KLF2"	"HIST1H1E"	0.00355256981373901
"CCDC18"	"ENSG00000197099"	0.00354936053302875
"SLC16A5"	"MYH14"	0.00354777371553496
"HIST1H3A"	"EDIL3"	0.00354395899258212
"UBC"	"NODAL"	0.00353694123565327
"C12orf76"	"FNDC9"	0.00352931307937622
"COL4A2-AS1"	"HIST1H1E"	0.00352494050347577
"CRYAB"	"RAB13"	0.00352198876816162
"KIF1C"	"MYH14"	0.00351138200386336
"NBAS"	"KCNN2"	0.00351069888221296
"ENSG00000275120"	"PRSS12"	0.00351027346427247
"PRSS12"	"ENSG00000262500"	0.00350792390725968
"ENSG00000258741"	"DPY19L2P4"	0.00350398503751554
"ENSG00000197099"	"TAS2R30"	0.00349617474224661
"CRYAB"	"S100A13"	0.00348369369850728
"CGNL1"	"CYP17A1"	0.00347790621177645
"DNAJA3"	"SMIM28"	0.00347720456767309
"USP37"	"LGR5"	0.00347589864840205
"ENSG00000278212"	"EVX2"	0.00347389293634663
"MYH14"	"SLC2A10"	0.00344861539266476
"CRYAB"	"C5AR1"	0.00344310059138525
"LINC02427"	"NXPH3"	0.00343983621220636
"STRA6"	"ENSG00000238003"	0.00343790348275758
"MYL3"	"SNAI1"	0.00343270004866058
"RHOV"	"DPY19L2P4"	0.0034297616689171
"TAF15"	"ENSG00000274383"	0.00342087406789094
