"regulatoryGene"	"targetGene"	"weight"
"FNDC9"	"WFDC2"	0.0116464136511703
"SMO"	"EVX2"	0.00969307691440782
"ENSG00000264647"	"HOXD10"	0.00879185881865881
"SIK1B"	"CFAP45"	0.0079803350366585
"ENSG00000225936"	"EVX2"	0.00769542059133149
"ENSG00000240859"	"GRIN3A"	0.00756506430932602
"ENSG00000260521"	"ENSG00000237857"	0.00724184318927091
"ENSG00000270550"	"EVX2"	0.00707348863049876
"HOXD10"	"FAM189A1"	0.00699211556134179
"KIF21A"	"HOXD10"	0.00696813981117843
"STAU2-AS1"	"RTL1"	0.00682007762724658
"FNDC9"	"OR51E1"	0.00678384870505887
"LINC00996"	"PRSS12"	0.00675631978852879
"GRIN3A"	"GCSAML"	0.00668502323154211
"NHLH2"	"ALDH2"	0.00664284149407955
"RPL22L1"	"ENSG00000176716"	0.00660883090225207
"PTH1R"	"STRA6"	0.0065568685294056
"UBC"	"AMPH"	0.00640924242484496
"CMYA5"	"ENSG00000269899"	0.00639024673092747
"SCARB1"	"FNDC9"	0.0063308639387681
"POU6F2"	"ENSG00000250461"	0.00630749359314538
"LGR5"	"ENSG00000277809"	0.00621399977471085
"CYP17A1"	"ENSG00000278635"	0.00613862823689822
"ZNF227"	"ENSG00000274383"	0.00611908233912235
"ZNF333"	"LINC01410"	0.00602465289259402
"LOC100288866"	"MYH14"	0.00598166417234935
"ENSG00000228389"	"EVX2"	0.00594451970441162
"HIST1H1E"	"HIST1H1D"	0.00593318312129214
"DDX1"	"NBAS"	0.00592952870204069
"PCDHGA3"	"GRIN3A"	0.00592043365452317
"PRSS12"	"EVX2"	0.00587854596849165
"PSCA"	"MAPK15"	0.00586164893997033
"ENSG00000275807"	"ENSG00000269867"	0.00571195889646886
"HOXD10"	"ENSG00000229588"	0.00570132449818234
"ENSG00000261158"	"SMIM28"	0.00569194185815928
"ENSG00000274370"	"ENSG00000261888"	0.00562824855644009
"NSUN5P1"	"POU6F2"	0.00562344267988247
"UBC"	"DUSP15"	0.005617927505717
"ENSG00000258284"	"LINC01410"	0.00561408718369887
"STRA6"	"CCDC33"	0.00557707513394032
"ENSG00000250519"	"POU6F2"	0.00556834640263897
"SLC8B1"	"CYP17A1"	0.00556349901576428
"MIR4453HG"	"LINC01410"	0.00552475987527367
"AMIGO2"	"HSPB7"	0.00550552817160618
"ENSG00000078319"	"UBC"	0.0054996658683363
"ENSG00000233251"	"EDIL3"	0.00549675947594451
"TBX21"	"PRSS12"	0.00540761500106031
"AMZ2"	"UBC"	0.00537021938261935
"EDIL3"	"ENSG00000224614"	0.00536349809214939
"SORBS2"	"STRA6"	0.00531847768386262
"FZD2"	"EVX2"	0.00531711315335193
"HOXD10"	"KIF21A"	0.00528060723543078
"EVX2"	"ELFN1"	0.00525878047041597
"SMIM28"	"POPDC3"	0.00523028910038056
"GRIN3A"	"ENSG00000258590"	0.00520005729975897
"FNDC9"	"EFHB"	0.00515703433756256
"ENSG00000176716"	"ENSG00000256250"	0.0051508402321258
"ENSG00000250979"	"LGR5"	0.00507845817640919
"UBC"	"L1CAM"	0.00507651311378997
"SIK1B"	"CLMAT3"	0.00501963183086523
"NXPH3"	"GRIN2A"	0.00501343631913314
"CMYA5"	"SRSF4"	0.00500884843346936
"MED20"	"ENSG00000197099"	0.00497912920284876
"SMIM28"	"IRS2"	0.0049760157679774
"CMYA5"	"ENSG00000275540"	0.00495199498109765
"HOXD10"	"ENSG00000223345"	0.00494654646547648
"NBAS"	"ENSG00000262477"	0.00493675413809193
"ABHD12"	"UBC"	0.00491484499802391
"LRRTM3"	"ENSG00000273492"	0.00490703793403294
"PLEKHG6"	"MYL3"	0.00490367599075553
"PTPRS"	"HOXD10"	0.0049002207656022
"FAM189A1"	"HOXD10"	0.00489773079143105
"PACRG"	"FNDC9"	0.00488453165360787
"GASK1B"	"ENSG00000261888"	0.00488367389394473
"KCNQ1OT1"	"SMIM28"	0.00483704364208054
"UBC"	"KIAA2012"	0.0048323404856153
"SMIM28"	"MMP12"	0.00481061455377619
"PRSS12"	"PLEKHD1"	0.004804866043386
"GRB2"	"UBC"	0.00479535214190147
"ENSG00000231240"	"MEG9"	0.00479283658653423
"CPA3"	"MYL3"	0.00479251010667577
"MYL3"	"COX14"	0.00479069875006522
"FAM76A"	"EVX2"	0.00475623878938032
"STRA6"	"ENSG00000275216"	0.00475442645535327
"OVOL3"	"SMIM28"	0.00474153444120127
"SMIM28"	"TIFAB"	0.00471524694476175
"NXPH3"	"MYBPHL"	0.00470305331670047
"LINC01410"	"ENSG00000269984"	0.0046775577652324
"PLK5"	"FNDC9"	0.00467204420698778
"SERPINA9"	"PRSS12"	0.00466822551802334
"ENSG00000224680"	"EVX2"	0.00466791803281909
"EDIL3"	"FBXO32"	0.00465990244297269
"ENSG00000246465"	"NXPH3"	0.00462897840883063
"ENSG00000274370"	"ACE"	0.00462242856027564
"EVX2"	"ENSG00000211892"	0.00461211327757669
"EDIL3"	"FAM83H"	0.00459961252321903
"PRSS12"	"DGKK"	0.00459741351501024
"LOC101929577"	"NXPH3"	0.00455504038577184
"GPR12"	"RTL1"	0.00452422970915042
"SRI"	"HIST1H1E"	0.00450140682089127
"GRIN3A"	"LINC01990"	0.00450025409812537
"TMEM130"	"UBC"	0.004498593342318
"COG7"	"MAPK15"	0.0044921039140803
"ADGRB3"	"LINC01410"	0.00447652440198661
"UTS2B"	"GRIN3A"	0.00447469153839178
"CCDC33"	"STRA6"	0.00446858902238901
"MAPK15"	"GLTPD2"	0.00446352628284339
"NMNAT3"	"STRA6"	0.00446318332080634
"GLYCTK"	"LOC101927418"	0.0044557931471808
"ERP27"	"SMIM28"	0.00444380288168183
"PHKA2"	"LGR5"	0.0044320402098464
"CACNA2D3"	"POU6F2"	0.00442931752610531
"SMIM28"	"ENSG00000261158"	0.00442116896121132
"MYL3"	"YTHDF3-AS1"	0.00441759825097569
"ETV1"	"EVX2"	0.00441041872850345
"C6orf89"	"LRRTM3"	0.00440511155540932
"ENSG00000280061"	"EVX2"	0.00439220100818829
"DPY19L2P4"	"PUS7L"	0.00439098461112704
"FNDC9"	"HIGD1B"	0.00438048469518433
"BBS5"	"EDIL3"	0.00438028584591348
"MAPK15"	"ENSG00000261360"	0.00437594539440641
"NBAS"	"ENSG00000229056"	0.00436699523467986
"AASDH"	"LINC01410"	0.00434968243500742
"DPY19L2P4"	"NR5A1"	0.00434855018385562
"LINC01410"	"ENSG00000234345"	0.00434664005078985
"CMYA5"	"TMEM184B"	0.0043324688578316
"FAM83H"	"EDIL3"	0.00433164513672065
"NHLH2"	"ENSG00000259407"	0.00432699488920898
"HS3ST5"	"MRPL58"	0.0043119163325157
"UBC"	"KIF3C"	0.00430513743926342
"C16orf74"	"SMIM28"	0.00429928209388374
"DLG2"	"HOXD10"	0.0042899594843593
"CITED2"	"EDIL3"	0.00428719818352079
"UBC"	"ENSG00000258702"	0.0042787571167734
"LINC01410"	"ENSG00000237977"	0.00427094578537561
"BBS5"	"MAPK15"	0.00426955234641734
"PRDM4"	"GRIN3A"	0.0042573296640412
"MAPK15"	"ENSG00000236017"	0.00423156710123949
"ENSG00000271941"	"HOXD10"	0.00422826107016495
"RRAD"	"NXPH3"	0.00422208948278542
"AP3S2"	"GRIN3A"	0.00421820523533604
"FNDC9"	"ENSG00000255050"	0.0041948699838982
"FAM204A"	"UBC"	0.00418400780261366
"VSIG10"	"CYP17A1"	0.00418053204346188
"DPY19L2P4"	"LMNB1-DT"	0.00417999862315499
"SINHCAF"	"ENSG00000237857"	0.00417979197220071
"SEPTIN1"	"HOXD10"	0.00417795595739471
"MOCOS"	"CYP17A1"	0.00417262426182321
"TPD52L1"	"CYP17A1"	0.00417262426182321
"IFIT3"	"CYP17A1"	0.00417262426182321
"ACADS"	"CYP17A1"	0.00417262426182321
"MAPK13"	"CYP17A1"	0.00417262426182321
