"regulatoryGene"	"targetGene"	"weight"
"PRSS12"	"EVX2"	0.00587854596849165
"EVX2"	"ELFN1"	0.00525878047041597
"SMIM28"	"TIFAB"	0.00471524694476175
"HOXD10"	"GLRA2"	0.00415212336525827
"IRF6"	"PRSS12"	0.00377988398675199
"TIFAB"	"PRSS12"	0.00376153214107168
"RNF150"	"LGR5"	0.00361555295785709
"PLA2G2D"	"EVX2"	0.00346993322025721
"SMIM28"	"GLRA2"	0.00332120474813236
"ELFN1"	"EVX2"	0.00308490146430273
"LINC01266"	"HOXD10"	0.00300717505639539
"SMIM28"	"RNF150"	0.00274005249664112
"EVX2"	"IRF6"	0.00267687526446944
"NHLH2"	"LINC01266"	0.00262694279442343
"GLRA2"	"HOXD10"	0.00261432297780902
"ELFN1"	"NHLH2"	0.00255291561821846
"PRSS12"	"PLA2G2D"	0.00251190126450508
